identifier,timestamp,actor,origin,action,elements
-2537829177933280630,2021-01-26 15:09:31.572,guest@lamisplus.org,0:0:0:0:0:0:0:1,/account,arg1$org.lamisplus.modules.base.controller.vm.LoginVM$username java.lang.String:guest@lamisplus.org, arg1$org.lamisplus.modules.base.controller.vm.LoginVM$password java.lang.String:12345, arg1$org.lamisplus.modules.base.controller.vm.LoginVM$rememberMe java.lang.Boolean:true, 
-4832348099309450292,2021-01-26 15:18:29.221,guest@lamisplus.org,0:0:0:0:0:0:0:1,/account,
-2558573944999031946,2021-01-26 15:27:29.327,guest@lamisplus.org,0:0:0:0:0:0:0:1,getAllPatients,
-2051356182744183277,2021-01-27 10:35:45.541,guest@lamisplus.org,0:0:0:0:0:0:0:1,getAllModule,
5542930234618039614,2021-01-27 10:36:11.379,guest@lamisplus.org,0:0:0:0:0:0:0:1,getAllModule,
-333526585694994165,2021-01-27 10:37:46.83,guest@lamisplus.org,0:0:0:0:0:0:0:1,uploadAndUnzip,
715250670652375298,2021-01-27 10:39:07.404,guest@lamisplus.org,0:0:0:0:0:0:0:1,uploadAndUnzip,
7464256823982444384,2021-01-27 10:39:22.331,guest@lamisplus.org,0:0:0:0:0:0:0:1,uploadAndUnzip,
4506671880233108998,2021-01-27 10:46:54.966,guest@lamisplus.org,0:0:0:0:0:0:0:1,uploadAndUnzip,
3771714116998546922,2021-01-27 10:51:10.296,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
1952571110574934277,2021-01-27 10:57:28.921,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
-6051173873798856226,2021-01-27 11:01:51.381,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
5418175324072068641,2021-01-27 11:06:00.937,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
-4512233091267673244,2021-01-27 11:09:53.899,guest@lamisplus.org,0:0:0:0:0:0:0:1,startModule,
-4033178347956842638,2021-01-27 11:20:46.866,guest@lamisplus.org,0:0:0:0:0:0:0:1,uploadAndUnzip,
-3601435352609305001,2021-01-27 11:21:08.024,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
706418981721034656,2021-01-27 11:21:20.764,guest@lamisplus.org,0:0:0:0:0:0:0:1,startModule,
-5477327176661185113,2021-01-27 11:38:49.056,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
4342853293717802237,2021-01-27 13:03:20.632,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
-1409413483020140002,2021-01-27 13:15:16.603,guest@lamisplus.org,0:0:0:0:0:0:0:1,startModule,
-4115999030417209126,2021-01-27 13:17:30.757,guest@lamisplus.org,0:0:0:0:0:0:0:1,installModule,
2538263239358761001,2021-01-27 13:17:39.085,guest@lamisplus.org,0:0:0:0:0:0:0:1,startModule,
