id,name,description,organisation_unit_level_id,parent_organisation_unit_id,archived,address,phone,email,latitude,longitude
0,World,World,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
1,Nigeria,Nigeria County in Africa,1,0,0,NULL,NULL,NULL,NULL,NULL
2,Abia,Abia state in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
3,Adamawa,Adamawa state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
4,Akwa Ibom,Akwa Ibom state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
5,Anambra,Anambra  state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
6,Bauchi,Bauchi state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
7,Bayelsa,Bayelsa state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
8,Benue,Benue state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
9,Borno,Borno state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
10,Cross River,Cross River state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
11,Delta,Delta state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
12,Ebonyi,Ebonyi state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
13,Edo,Edo state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
14,Ekiti,Ekiti state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
15,Enugu,Enugu state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
16,FCT,FCT capital city of Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
17,Gombe,Gombe state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
18,Imo,Imo state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
19,Jigawa,Jigawa state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
20,Kaduna,Kaduna state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
21,Kano,Kano state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
22,Katsina,Katsina state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
23,Kebbi,Kebbi state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
24,Kogi,Kogi state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
25,Kwara,Kwara state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
26,Lagos,Lagos state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
27,Nasarawa,Nasarawa state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
28,Niger,Niger state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
29,Ogun,Ogun state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
30,Ondo,Ondo state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
31,Osun,Osun state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
32,Oyo,Oyo state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
33,Plateau,Plateau state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
34,Rivers,Rivers state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
35,Sokoto,Sokoto state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
36,Taraba,Taraba state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
37,Yobe,Yobe state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
38,Zamfara,Zamfara state  in Nigeria,2,1,0,NULL,NULL,NULL,NULL,NULL
39,Aba North,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
40,Aba South,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
41,Arochukwu,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
42,Bende,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
43,Ikwuano,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
44,Isiala Ngwa North,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
45,Isiala Ngwa South,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
46,Isuikwuato,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
47,Obi Ngwa,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
48,Ohafia,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
49,Osisioma,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
50,Ugwunagbo,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
51,Ukwa East,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
52,Ukwa West,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
53,Umuahia North,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
54,Umuahia South,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
55,Umu Nneochi,Local government in Abia State,3,2,0,NULL,NULL,NULL,NULL,NULL
56,Demsa,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
57,Fufore,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
58,Ganye,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
59,Gayuk,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
60,Gombi,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
61,Grie,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
62,Hong,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
63,Jada,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
64,Larmurde,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
65,Madagali,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
66,Maiha,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
67,Mayo Belwa,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
68,Michika,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
69,Mubi North,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
70,Mubi South,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
71,Numan,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
72,Shelleng,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
73,Song,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
74,Toungo,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
75,Yola North,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
76,Yola South,Local government in Adamawa State,3,3,0,NULL,NULL,NULL,NULL,NULL
77,Abak,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
78,Eastern Obolo,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
79,Eket,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
80,Esit Eket,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
81,Essien Udim,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
82,Etim Ekpo,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
83,Etinan,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
84,Ibeno,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
85,Ibesikpo Asutan,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
86,Ibiono-Ibom,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
87,Ika,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
88,Ikono,Local government in Akwa Ibom State,3,4,0,NULL,NULL,NULL,NULL,NULL
