id,organisation_unit_id,parent_organisation_unit_id,organisation_unit_level_id
1,2,1,2
2,3,1,2
3,4,1,2
4,5,1,2
5,6,1,2
6,7,1,2
7,8,1,2
8,9,1,2
9,10,1,2
10,11,1,2
11,12,1,2
12,13,1,2
13,14,1,2
14,15,1,2
15,16,1,2
16,17,1,2
17,18,1,2
18,19,1,2
19,20,1,2
20,21,1,2
21,22,1,2
22,23,1,2
23,24,1,2
24,25,1,2
25,26,1,2
26,27,1,2
27,28,1,2
28,29,1,2
29,30,1,2
30,31,1,2
31,32,1,2
32,33,1,2
33,34,1,2
34,35,1,2
35,36,1,2
36,37,1,2
37,38,1,2
38,39,2,3
39,40,2,3
40,41,2,3
41,42,2,3
42,43,2,3
43,44,2,3
44,45,2,3
45,46,2,3
46,47,2,3
47,48,2,3
48,49,2,3
49,50,2,3
50,51,2,3
51,52,2,3
52,53,2,3
53,54,2,3
54,55,2,3
55,56,3,3
56,57,3,3
57,58,3,3
58,59,3,3
59,60,3,3
60,61,3,3
61,62,3,3
62,63,3,3
63,64,3,3
64,65,3,3
65,66,3,3
66,67,3,3
67,68,3,3
68,69,3,3
69,70,3,3
70,71,3,3
71,72,3,3
72,73,3,3
73,74,3,3
74,75,3,3
75,76,3,3
76,77,4,3
77,78,4,3
78,79,4,3
79,80,4,3
80,81,4,3
81,82,4,3
82,83,4,3
83,84,4,3
84,85,4,3
85,86,4,3
86,87,4,3
87,88,4,3
88,89,4,3
89,90,4,3
90,91,4,3
91,92,4,3
92,93,4,3
93,94,4,3
94,95,4,3
95,96,4,3
96,97,4,3
97,98,4,3
98,99,4,3
99,100,4,3
100,101,4,3
101,102,4,3
102,103,4,3
103,104,4,3
104,105,4,3
105,106,4,3
106,107,4,3
107,108,5,3
108,109,5,3
109,110,5,3
110,111,5,3
111,112,5,3
112,113,5,3
113,114,5,3
114,115,5,3
115,116,5,3
116,117,5,3
117,118,5,3
118,119,5,3
119,120,5,3
120,121,5,3
121,122,5,3
122,123,5,3
123,124,5,3
124,125,5,3
125,126,5,3
126,127,5,3
127,128,5,3
128,129,6,3
129,130,6,3
130,131,6,3
131,132,6,3
132,133,6,3
133,134,6,3
134,135,6,3
135,136,6,3
136,137,6,3
137,138,6,3
138,139,6,3
139,140,6,3
140,141,6,3
141,142,6,3
142,143,6,3
143,144,6,3
144,145,6,3
145,146,6,3
